dep;semaine_glissante;pop;P;T
01;2020-05-13-2020-05-19;656955;43;2597
01;2020-05-14-2020-05-20;656955;45;2761
01;2020-05-15-2020-05-21;656955;37;2372
01;2020-05-16-2020-05-22;656955;39;2304
01;2020-05-17-2020-05-23;656955;41;2307
01;2020-05-18-2020-05-24;656955;41;2325
01;2020-05-19-2020-05-25;656955;33;2151
01;2020-05-20-2020-05-26;656955;26;2033
01;2020-05-21-2020-05-27;656955;19;1885
01;2020-05-22-2020-05-28;656955;19;2201
01;2020-05-23-2020-05-29;656955;18;2157
01;2020-05-24-2020-05-30;656955;18;2195
01;2020-05-25-2020-05-31;656955;19;2187
01;2020-05-26-2020-06-01;656955;20;1859
01;2020-05-27-2020-06-02;656955;21;1758
01;2020-05-28-2020-06-03;656955;19;1698
01;2020-05-29-2020-06-04;656955;18;1688
01;2020-05-30-2020-06-05;656955;17;1684
01;2020-05-31-2020-06-06;656955;18;1661
01;2020-06-01-2020-06-07;656955;18;1670
01;2020-06-02-2020-06-08;656955;14;1924
01;2020-06-03-2020-06-09;656955;12;1783
01;2020-06-04-2020-06-10;656955;11;1802
01;2020-06-05-2020-06-11;656955;19;1699
01;2020-06-06-2020-06-12;656955;18;1693
01;2020-06-07-2020-06-13;656955;15;1676
01;2020-06-08-2020-06-14;656955;15;1680
01;2020-06-09-2020-06-15;656955;15;1683
01;2020-06-10-2020-06-16;656955;17;1701
01;2020-06-11-2020-06-17;656955;21;1697
01;2020-06-12-2020-06-18;656955;17;1715
01;2020-06-13-2020-06-19;656955;16;1690
01;2020-06-14-2020-06-20;656955;19;1727
01;2020-06-15-2020-06-21;656955;18;1710
01;2020-06-16-2020-06-22;656955;23;1844
01;2020-06-17-2020-06-23;656955;30;1933
01;2020-06-18-2020-06-24;656955;27;1950
01;2020-06-19-2020-06-25;656955;28;2005
01;2020-06-20-2020-06-26;656955;33;2157
01;2020-06-21-2020-06-27;656955;36;2215
01;2020-06-22-2020-06-28;656955;36;2237
01;2020-06-23-2020-06-29;656955;37;2355
01;2020-06-24-2020-06-30;656955;35;2525
01;2020-06-25-2020-07-01;656955;36;2683
01;2020-06-26-2020-07-02;656955;31;2885
01;2020-06-27-2020-07-03;656955;26;3082
01;2020-06-28-2020-07-04;656955;21;3132
01;2020-06-29-2020-07-05;656955;21;3124
01;2020-06-30-2020-07-06;656955;17;3136
01;2020-07-01-2020-07-07;656955;14;3133
01;2020-07-02-2020-07-08;656955;14;3254
01;2020-07-03-2020-07-09;656955;17;3370
01;2020-07-04-2020-07-10;656955;17;3499
01;2020-07-05-2020-07-11;656955;16;3498
01;2020-07-06-2020-07-12;656955;17;3491
01;2020-07-07-2020-07-13;656955;15;3567
01;2020-07-08-2020-07-14;656955;10;3083
01;2020-07-09-2020-07-15;656955;10;3190
01;2020-07-10-2020-07-16;656955;7;3218
01;2020-07-11-2020-07-17;656955;10;3120
01;2020-07-12-2020-07-18;656955;14;3201
01;2020-07-13-2020-07-19;656955;13;3209
01;2020-07-14-2020-07-20;656955;16;3187
01;2020-07-15-2020-07-21;656955;26;3799
01;2020-07-16-2020-07-22;656955;28;3711
01;2020-07-17-2020-07-23;656955;34;3572
01;2020-07-18-2020-07-24;656955;49;3521
01;2020-07-19-2020-07-25;656955;47;3475
01;2020-07-20-2020-07-26;656955;49;3478
01;2020-07-21-2020-07-27;656955;59;3595
01;2020-07-22-2020-07-28;656955;59;3651
01;2020-07-23-2020-07-29;656955;61;3727
01;2020-07-24-2020-07-30;656955;72;3921
01;2020-07-25-2020-07-31;656955;68;4072
01;2020-07-26-2020-08-01;656955;71;4064
01;2020-07-27-2020-08-02;656955;71;4083
01;2020-07-28-2020-08-03;656955;67;4016
01;2020-07-29-2020-08-04;656955;71;4052
01;2020-07-30-2020-08-05;656955;74;4031
01;2020-07-31-2020-08-06;656955;72;4026
01;2020-08-01-2020-08-07;656955;64;4018
01;2020-08-02-2020-08-08;656955;67;4009
01;2020-08-03-2020-08-09;656955;66;3984
